2017-12-27 13:56:20.196 main.java.com.beadhouse.controller.user.VipUserController getUserName 108
2017-12-27 13:56:20.724 main.java.com.beadhouse.controller.user.IndexController getIndexBeadhouseInfo 480
2017-12-27 13:56:29.401 main.java.com.beadhouse.controller.beadhouse.CommentController getCommentData 11
2017-12-27 13:56:29.820 main.java.com.beadhouse.controller.beadhouse.BeadhouseAdminController getAdminUserName 14
2017-12-27 13:56:31.502 main.java.com.beadhouse.controller.beadhouse.BeadhouseAdminController adminLoginView 0
2017-12-27 13:56:32.971 main.java.com.beadhouse.controller.beadhouse.BeadhouseAdminController adminLogin 199
2017-12-27 13:56:33.290 main.java.com.beadhouse.controller.beadhouse.BeadhouseAdminController getAdminUserName 83
2017-12-27 13:56:36.450 main.java.com.beadhouse.controller.beadhouse.BeadhouseAdminController elderCheckin 0
2017-12-27 13:56:36.921 main.java.com.beadhouse.controller.beadhouse.BeadhouseAdminController getAdminUserName 161
2017-12-27 13:56:37.083 main.java.com.beadhouse.controller.beadhouse.BeadhouseElderCheckinController elderCheckinList 311
2017-12-27 13:56:37.955 main.java.com.beadhouse.controller.beadhouse.CommentController getCommentData 1300
2017-12-27 13:56:37.956 main.java.com.beadhouse.controller.beadhouse.CommentController getCommentData 4858
2017-12-27 13:56:55.945 main.java.com.beadhouse.controller.beadhouse.BeadhouseAdminController getElderInfo 86
2017-12-27 13:56:59.515 main.java.com.beadhouse.controller.beadhouse.BeadhouseAdminController getElderInfo 29
2017-12-27 13:57:04.347 main.java.com.beadhouse.controller.beadhouse.BeadhouseAdminController getElderInfo 20
2017-12-27 13:57:08.046 main.java.com.beadhouse.controller.beadhouse.BeadhouseAdminController getElderInfo 24
2017-12-27 13:57:11.236 main.java.com.beadhouse.controller.beadhouse.BeadhouseAdminController getElderInfo 21
2017-12-27 13:57:28.972 main.java.com.beadhouse.controller.admin.AdminIndexPage adminIndexPage 9
2017-12-27 13:57:29.234 main.java.com.beadhouse.controller.admin.AdminIndexPage forKeepAlive 47
2017-12-27 13:57:31.356 main.java.com.beadhouse.controller.admin.AdminIndexPage adminLoginPage 0
2017-12-27 13:57:32.861 main.java.com.beadhouse.controller.admin.AdminIndexPage adminLogin 127
2017-12-27 13:57:32.960 main.java.com.beadhouse.controller.admin.AdminIndexPage forKeepAlive 21
2017-12-27 13:57:43.984 main.java.com.beadhouse.controller.admin.AdminIndexPage forKeepAlive 9
